mode,acc_phon,gender
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MDC,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MWH,L*H,F
MYN,^[L*H],F
MYN,^[L*H],F
MYN,^[L*H],F
MYN,^[L*H],F
MYN,^[L*H],F
MYN,L*^[H],F
MYN,L*^[H],F
MYN,L*^[H],F
MYN,L*^[H],F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MYN,L*H,F
MDQ,^[L*H],F
MDQ,^[L*H],F
MDQ,^[L*H],F
MDQ,^[L*H],F
MDQ,^[L*H],F
MDQ,^[L*H],F
MDQ,^[L*H],F
MDQ,^[L*H],F
MDQ,^[L*H],F
MDQ,^[L*H],F
MDQ,^[L*H],F
MDQ,^[L*H],F
MDQ,^[L*H],F
MDQ,^[L*H],F
MDQ,^[L*H],F
MDQ,^[L*H],F
MDQ,^[L*H],F
MDQ,^[L*H],F
MDQ,^[L*H],F
MDQ,^[L*H],F
MDQ,^[L*H],F
MDQ,^[L*H],F
MDQ,^[L*H],F
MDQ,^[L*H],F
MDQ,^[L*H],F
MDQ,^[L*H],F
MDQ,^[L*H],F
MDQ,^[L*H],F
MDQ,^[L*H],F
MDQ,^[L*H],F
MDQ,^[L*H],F
MDQ,^[L*H],F
MDQ,^[L*H],F
MDQ,^[L*H],F
MDQ,L*^[H],F
MDQ,L*^[H],F
MDQ,L*^[H],F
MDQ,L*^[H],F
MDQ,L*^[H],F
MDQ,L*^[H],F
MDQ,L*^[H],F
MDQ,L*^[H],F
MDQ,L*^[H],F
MDQ,L*^[H],F
MDQ,L*^[H],F
MDQ,L*^[H],F
MDQ,L*^[H],F
MDQ,L*^[H],F
MDQ,L*^[H],F
MDQ,L*^[H],F
MDQ,L*^[H],F
MDQ,L*^[H],F
MDQ,L*^[H],F
MDQ,L*^[H],F
MDQ,L*^[H],F
MDQ,L*H,F
MDQ,L*H,F
MDQ,L*H,F
MDQ,L*H,F
MDQ,L*H,F
MDQ,L*H,F
MDQ,L*H,F
MDQ,L*H,F
MDQ,L*H,F
MDQ,L*H,F
MDQ,L*H,F
MDQ,L*H,F
MDQ,L*H,F
MDQ,L*H,F
MDQ,L*H,F
MDQ,L*H,F
MDQ,L*H,F
MDQ,L*H,F
MDQ,L*H,F
MDQ,L*H,F
MDQ,L*H,F
MDQ,L*H,F
MDQ,L*H,F
MDQ,L*H,F
MDQ,L*H,F
MDQ,L*H,F
MDQ,L*H,F
MDQ,L*H,F
MDQ,L*H,F
MDQ,L*H,F
MDQ,L*H,F
MDQ,L*H,F
MDQ,L*H,F
MDQ,L*H,F
MDQ,L*H,F
MDC,>H*,M
MDC,>H*,M
MDC,H*,M
MDC,H*,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MDC,L*H,M
MWH,L*^[H],M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MWH,L*H,M
MYN,^[L*]H,M
MYN,^[L*]H,M
MYN,^[L*]H,M
MYN,^[L*H],M
MYN,^[L*H],M
MYN,^[L*H],M
MYN,^[L*H],M
MYN,^[L*H],M
MYN,^[L*H],M
MYN,^[L*H],M
MYN,^[L*H],M
MYN,^[L*H],M
MYN,^[L*H],M
MYN,^[L*H],M
MYN,^[L*H],M
MYN,^[L*H],M
MYN,^[L*H],M
MYN,^[L*H],M
MYN,^[L*H],M
MYN,^[L*H],M
MYN,^[L*H],M
MYN,^[L*H],M
MYN,^[L*H],M
MYN,^[L*H],M
MYN,^[L*H],M
MYN,^[L*H],M
MYN,^[L*H],M
MYN,^[L*H],M
MYN,^[L*H],M
MYN,^[L*H],M
MYN,^[L*H],M
MYN,^[L*H],M
MYN,^[L*H],M
MYN,^[L*H],M
MYN,^[L*H],M
MYN,^[L*H],M
MYN,^[L*H],M
MYN,>H*,M
MYN,>H*,M
MYN,L*^[H],M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MDQ,^[L*]H,M
MDQ,^[L*]H,M
MDQ,^[L*]H,M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,>H*,M
MDQ,L*^[H],M
MDQ,L*^[H],M
MDQ,L*^[H],M
MDQ,L*^[H],M
MDQ,L*^[H],M
MDQ,L*H,M
MDQ,L*H,M
MDQ,L*H,M
MDQ,L*H,M
MDQ,L*H,M
MDQ,L*H,M
MDQ,L*H,M
MDQ,L*H,M
